Product ID;Product;Brand;Category;pricing_role_category;URL;Price;Image URL;__rowIndex;__id
826527;LOR Brow Color Kit Brunette 5.0;L’Oréal Paris;Makeup;C;https://www.kicks.fi/haku?search-query=826527;;https://images.matas.dk/encode/3600524136048_20240503173610.jpg;21028;826527
735420;PTR 24k Gold Mask 150ml (W);Peter Thomas Roth;Skin care;C;https://www.kicks.fi/haku?search-query=735420;;;21029;735420
804421;Mason Pearson Hairbrush Cleaner Spray 100 ml;Mason Pearson;Hair care and styling;C;https://www.kicks.fi/haku?search-query=804421;;https://images.matas.dk/encode/5014516300016-1_20260204073600.jpg;21030;804421
717597;RFM Ultra Sensitive Shaving Foam 100 ml (W);Recipe For Men;Personal care;B;https://www.kicks.fi/haku?search-query=717597;;https://images.matas.dk/encode/717597_1_20231023132326.jpg;21031;717597
803434;MD BB EDT SPR 30ML INT23;DIOR;Fragrances;A;https://www.kicks.fi/haku?search-query=803434;;https://images.matas.dk/encode/3348901627351_20240220113536.jpg;21032;803434
816462;ES Futurist Soft Touch Brightening Skincealer 6N Extra Deep;Estée Lauder;Makeup;C;https://www.kicks.fi/haku?search-query=816462;;https://images.matas.dk/encode/887167629530_20240123113524.jpg;21033;816462
1006694;Mason Pearson Leave-In Conditioner 150 ml;Mason Pearson;Hair care and styling;C;https://www.kicks.fi/haku?search-query=1006694;;https://images.matas.dk/encode/5014516320038-1_20260204073600.jpg;21034;1006694
810999;Fenty Pro Filt Soft Matte Longwear Foundation 420;FENTY;Makeup;C;https://www.kicks.fi/haku?search-query=810999;;https://images.matas.dk/encode/816657023145_swatch.jpg;21035;810999
1004242;NARS Natural Radiant Longwear Foundation Gobi 30ml;NARS;Makeup;C;https://www.kicks.fi/haku?search-query=1004242;;https://images.matas.dk/encode/607845066033_1_20240827122949.jpg;21036;1004242
838323;GOSH Brow Tint (Semi-Permanent) 001  Light Brown 2,9 g;Gosh Copenhagen;Makeup;C;https://www.kicks.fi/haku?search-query=838323;;https://images.matas.dk/encode/5711914198817_20240805224351.jpg;21037;838323
1033464;MAY Lifter Gel Oil-In-Gel Twist Pen 03 Passion Juice 6,6 ml;Maybelline;Makeup;C;https://www.kicks.fi/haku?search-query=1033464;;https://images.matas.dk/encode/3600531720995_20260120181000.jpg;21038;1033464
810982;Fenty Pro Filt Soft Matte Longwear Foundation 265;FENTY;Makeup;C;https://www.kicks.fi/haku?search-query=810982;;https://images.matas.dk/encode/840026661188_swatch.jpg;21039;810982
1024963;ELF Glitzshow Eyeshadow Stick Prismaddict 4,5 g;e.l.f.;Makeup;C;https://www.kicks.fi/haku?search-query=1024963;;https://images.matas.dk/encode/609332837942_20250912180248.jpg;21040;1024963
665115;Maria Nila Pure Volume Conditioner 300ml;Maria Nila;Hair care and styling;C;https://www.kicks.fi/haku?search-query=665115;;https://images.matas.dk/encode/7391681036116_1_20260401121900.jpg;21041;665115
818149;Exuviance Clarifying & Renewing Serum 30 ml;Exuviance;Skin care;C;https://www.kicks.fi/haku?search-query=818149;;https://images.matas.dk/encode/732013203825.jpg;21042;818149
827207;Laura Mercier Real Flawless Perfecting Concealer 3N1;Laura Mercier;Makeup;C;https://www.kicks.fi/haku?search-query=827207;;https://images.matas.dk/encode/194250059502_20240321173509.jpg;21043;827207
827076;Fenty Soft Lit Luminous Foundation 410;FENTY;Makeup;C;https://www.kicks.fi/haku?search-query=827076;;https://images.matas.dk/encode/840026671347_20250808180339.jpg;21044;827076
759612;TO AHA 30% + BHA 2% Peeling Solution 30 ml (M);The Ordinary;Skin care;AA;https://www.kicks.fi/haku?search-query=759612;;https://images.matas.dk/encode/769915195606_20250516180128.jpg;21045;759612
835491;Elemis Superfood Midnight Facial;Elemis;Skin care;C;https://www.kicks.fi/haku?search-query=835491;;https://images.matas.dk/encode/641628401314_20250327180425.jpg;21046;835491
1030178;Dior Forever Skin Wear 7N 30 ml (G);DIOR;Makeup;C;https://www.kicks.fi/haku?search-query=1030178;;https://images.matas.dk/encode/3348901793131_20260216143400.jpg;21047;1030178
695009;MAC Eyeshadow 1,5g Club (W);MAC;Makeup;C;https://www.kicks.fi/haku?search-query=695009;;https://images.matas.dk/encode/695009_1.jpg;21048;695009
1029339;ELF Soft Glam Satin Concealer 20 Light Cool 6,3 ml;e.l.f.;Makeup;C;https://www.kicks.fi/haku?search-query=1029339;;https://images.matas.dk/encode/609332851818_20251022131800.jpg;21049;1029339
1015153;Fenty Styling Curl cream 355 ml (P);FENTY;Hair care and styling;A;https://www.kicks.fi/haku?search-query=1015153;;https://images.matas.dk/encode/840026684743_20250604180151.jpg;21050;1015153
791164;MF Creme Puff 05 Translucent (G);Max Factor;Makeup;C;https://www.kicks.fi/haku?search-query=791164;;https://images.matas.dk/encode/3616302748792_20260202180300.jpg;21051;791164
698728;Ariana Grande Sweet Like Candy Edp 30 Ml (G);Ariana Grande;Fragrances;A;https://www.kicks.fi/haku?search-query=698728;;;21052;698728
